ensembl_gene_id,Gene_name,ensembl_gene_id_version
ENSG00000035664,DAPK2,ENSG00000035664.11
ENSG00000035681,NSMAF,ENSG00000035681.9
ENSG00000035687,ADSS2,ENSG00000035687.10
ENSG00000035720,STAP1,ENSG00000035720.8
ENSG00000036054,TBC1D23,ENSG00000036054.13
ENSG00000036448,MYOM2,ENSG00000036448.10
ENSG00000036473,OTC,ENSG00000036473.8
ENSG00000036530,CYP46A1,ENSG00000036530.9
ENSG00000036549,ZZZ3,ENSG00000036549.13
ENSG00000036565,SLC18A1,ENSG00000036565.15
ENSG00000036672,USP2,ENSG00000036672.16
ENSG00000036828,CASR,ENSG00000036828.17
ENSG00000037042,TUBG2,ENSG00000037042.9
ENSG00000037241,RPL26L1,ENSG00000037241.7
ENSG00000037280,FLT4,ENSG00000037280.16
ENSG00000037474,NSUN2,ENSG00000037474.15
ENSG00000037637,FBXO42,ENSG00000037637.11
ENSG00000037757,MRI1,ENSG00000037757.14
ENSG00000037897,METTL1,ENSG00000037897.17
ENSG00000037965,HOXC8,ENSG00000037965.6
ENSG00000038002,AGA,ENSG00000038002.9
ENSG00000038210,PI4K2B,ENSG00000038210.14
ENSG00000038219,BOD1L1,ENSG00000038219.13
ENSG00000038295,TLL1,ENSG00000038295.8
ENSG00000038358,EDC4,ENSG00000038358.15
ENSG00000038427,VCAN,ENSG00000038427.16
ENSG00000038945,MSR1,ENSG00000038945.15
ENSG00000039123,MTREX,ENSG00000039123.16
ENSG00000039319,ZFYVE16,ENSG00000039319.17
ENSG00000039523,RIPOR1,ENSG00000039523.20
ENSG00000039560,RAI14,ENSG00000039560.14
ENSG00000039600,SOX30,ENSG00000039600.11
ENSG00000039650,PNKP,ENSG00000039650.12
ENSG00000039987,BEST2,ENSG00000039987.7
ENSG00000040199,PHLPP2,ENSG00000040199.18
ENSG00000040275,SPDL1,ENSG00000040275.17
ENSG00000040341,STAU2,ENSG00000040341.18
ENSG00000040487,SLC66A1,ENSG00000040487.13
ENSG00000040531,CTNS,ENSG00000040531.16
ENSG00000040608,RTN4R,ENSG00000040608.14
ENSG00000040633,PHF23,ENSG00000040633.13
ENSG00000040731,CDH10,ENSG00000040731.10
ENSG00000040933,INPP4A,ENSG00000040933.16
ENSG00000041353,RAB27B,ENSG00000041353.10
ENSG00000041357,PSMA4,ENSG00000041357.16
ENSG00000041515,MYO16,ENSG00000041515.16
ENSG00000041802,LSG1,ENSG00000041802.11
ENSG00000042062,RIPOR3,ENSG00000042062.13
