"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","group","ensembl_gene_id","Gene_name"
"ENSG00000106123.12",1399.452,0.268,0.548,0.49,0.624,1,"insig","ENSG00000106123","EPHB6"
"ENSG00000106125.14",67.192,0.323,0.464,0.695,0.487,1,"insig","ENSG00000106125","MINDY4"
"ENSG00000106128.19",124.408,1.586,0.867,1.83,0.067,0.917,"insig","ENSG00000106128","GHRHR"
"ENSG00000106144.20",1565.29,0.071,0.277,0.256,0.798,1,"insig","ENSG00000106144","CASP2"
"ENSG00000106153.13",7985.716,-0.118,0.222,-0.531,0.596,1,"insig","ENSG00000106153","CHCHD2"
"ENSG00000106178.7",38.317,0.462,0.787,0.588,0.557,1,"insig","ENSG00000106178","CCL24"
"ENSG00000106211.10",19205.444,0.639,0.37,1.726,0.084,0.945,"insig","ENSG00000106211","HSPB1"
"ENSG00000106236.4",518.652,0.248,0.751,0.33,0.741,1,"insig","ENSG00000106236","NPTX2"
"ENSG00000106244.13",4404.929,-0.419,0.165,-2.539,0.011,0.463,"insig","ENSG00000106244","PDAP1"
"ENSG00000106245.11",1047.07,-0.327,0.174,-1.884,0.06,0.887,"insig","ENSG00000106245","BUD31"
"ENSG00000106246.18",88.901,0.016,0.243,0.066,0.947,1,"insig","ENSG00000106246","PTCD1"
"ENSG00000106261.17",5458.863,-0.105,0.262,-0.399,0.69,1,"insig","ENSG00000106261","ZKSCAN1"
"ENSG00000106266.11",1169.189,-0.041,0.2,-0.204,0.839,1,"insig","ENSG00000106266","SNX8"
"ENSG00000106278.12",12.454,0.352,0.596,0.59,0.555,1,"insig","ENSG00000106278","PTPRZ1"
"ENSG00000106299.8",3793.963,0.095,0.198,0.479,0.632,1,"insig","ENSG00000106299","WASL"
"ENSG00000106302.10",2.305,-1.633,0.639,-2.555,0.011,0.447,"insig","ENSG00000106302","HYAL4"
"ENSG00000106305.10",567.464,-0.343,0.208,-1.648,0.099,0.945,"insig","ENSG00000106305","AIMP2"
"ENSG00000106327.13",20088.867,-0.267,0.917,-0.291,0.771,1,"insig","ENSG00000106327","TFR2"
"ENSG00000106328.10",4.412,0.588,0.585,1.006,0.315,1,"insig","ENSG00000106328","FSCN3"
"ENSG00000106330.12",1043.247,0.052,0.231,0.225,0.822,1,"insig","ENSG00000106330","MOSPD3"
"ENSG00000106333.13",1860.992,0.483,0.414,1.166,0.244,1,"insig","ENSG00000106333","PCOLCE"
"ENSG00000106336.13",12.504,0.901,0.358,2.514,0.012,0.478,"insig","ENSG00000106336","FBXO24"
"ENSG00000106341.11",0.626,-0.208,1.291,-0.161,0.872,1,"insig","ENSG00000106341","PPP1R17"
"ENSG00000106344.8",1041.145,-0.078,0.15,-0.515,0.606,1,"insig","ENSG00000106344","RBM28"
"ENSG00000106351.13",4661.3,0.37,0.276,1.342,0.18,1,"insig","ENSG00000106351","AGFG2"
"ENSG00000106355.10",1062.622,-0.278,0.215,-1.293,0.196,1,"insig","ENSG00000106355","LSM5"
"ENSG00000106366.9",15401.579,-0.46,0.636,-0.723,0.469,1,"insig","ENSG00000106366","SERPINE1"
"ENSG00000106367.15",2200.37,-0.195,0.208,-0.941,0.347,1,"insig","ENSG00000106367","AP1S1"
"ENSG00000106384.12",200.278,-0.068,0.88,-0.077,0.938,1,"insig","ENSG00000106384","MOGAT3"
"ENSG00000106392.11",1213.452,-0.682,0.258,-2.645,0.008,0.397,"insig","ENSG00000106392","C1GALT1"
"ENSG00000106397.12",6082.056,0.182,0.212,0.857,0.391,1,"insig","ENSG00000106397","PLOD3"
"ENSG00000106399.11",722.833,-0.026,0.214,-0.122,0.903,1,"insig","ENSG00000106399","RPA3"
"ENSG00000106400.12",5142.695,-0.034,0.306,-0.112,0.911,1,"insig","ENSG00000106400","ZNHIT1"
"ENSG00000106404.14",801.867,1.087,0.411,2.645,0.008,0.397,"insig","ENSG00000106404","CLDN15"
"ENSG00000106410.15",0.021,0.066,3.657,0.018,0.986,1,"insig","ENSG00000106410","NOBOX"
"ENSG00000106415.13",275.479,0.076,0.417,0.181,0.856,1,"insig","ENSG00000106415","GLCCI1"
"ENSG00000106443.17",1764.275,-0.041,0.151,-0.274,0.784,1,"insig","ENSG00000106443","PHF14"
"ENSG00000106459.15",585.316,0.149,0.157,0.949,0.343,1,"insig","ENSG00000106459","NRF1"
"ENSG00000106477.20",471.54,-0.052,0.257,-0.202,0.84,1,"insig","ENSG00000106477","CEP41"
"ENSG00000106479.11",636.794,0.505,0.238,2.124,0.034,0.755,"insig","ENSG00000106479","ZNF862"
"ENSG00000106483.12",482.072,-0.345,0.674,-0.512,0.608,1,"insig","ENSG00000106483","SFRP4"
"ENSG00000106484.16",1922.297,0.207,0.355,0.584,0.559,1,"insig","ENSG00000106484","MEST"
"ENSG00000106511.6",29.311,0.411,0.714,0.576,0.565,1,"insig","ENSG00000106511","MEOX2"
"ENSG00000106524.9",559.682,-0.036,0.17,-0.214,0.83,1,"insig","ENSG00000106524","ANKMY2"
"ENSG00000106536.21",87.753,-0.557,0.927,-0.601,0.548,1,"insig","ENSG00000106536","POU6F2"
"ENSG00000106537.8",1446.205,-0.862,0.511,-1.687,0.092,0.945,"insig","ENSG00000106537","TSPAN13"
"ENSG00000106538.10",16179.619,-0.004,0.63,-0.006,0.995,1,"insig","ENSG00000106538","RARRES2"
"ENSG00000106540.4",0,NA,NA,NA,NA,NA,"insig","ENSG00000106540","unknown"
"ENSG00000106541.12",1122.795,-2.841,1.084,-2.622,0.009,0.404,"insig","ENSG00000106541","AGR2"
"ENSG00000106546.14",2331.908,-0.234,0.368,-0.636,0.525,1,"insig","ENSG00000106546","AHR"
"ENSG00000106554.13",1637.227,-0.329,0.198,-1.658,0.097,0.945,"insig","ENSG00000106554","CHCHD3"
"ENSG00000106560.11",236.265,-0.074,0.445,-0.165,0.869,1,"insig","ENSG00000106560","GIMAP2"
"ENSG00000106571.15",141.405,-0.338,0.464,-0.728,0.466,1,"insig","ENSG00000106571","GLI3"
"ENSG00000106588.12",37.74,0.225,0.282,0.797,0.425,1,"insig","ENSG00000106588","PSMA2"
"ENSG00000106591.4",1611.049,-0.11,0.235,-0.469,0.639,1,"insig","ENSG00000106591","MRPL32"
"ENSG00000106605.11",1113.244,0.199,0.363,0.548,0.583,1,"insig","ENSG00000106605","BLVRA"
"ENSG00000106608.17",2088.927,0.231,0.163,1.42,0.156,0.997,"insig","ENSG00000106608","URGCP"
"ENSG00000106609.16",6353.312,-0.112,0.116,-0.959,0.337,1,"insig","ENSG00000106609","TMEM248"
"ENSG00000106615.10",2033.574,-0.234,0.167,-1.404,0.16,0.998,"insig","ENSG00000106615","RHEB"
"ENSG00000106624.11",8192.049,0.114,0.406,0.28,0.78,1,"insig","ENSG00000106624","AEBP1"
"ENSG00000106631.8",1.574,1.205,1.026,1.174,0.241,1,"insig","ENSG00000106631","MYL7"
"ENSG00000106635.8",2045.37,-0.311,0.155,-2.012,0.044,0.833,"insig","ENSG00000106635","BCL7B"
"ENSG00000106636.9",3198.622,-0.241,0.238,-1.011,0.312,1,"insig","ENSG00000106636","YKT6"
"ENSG00000106665.16",3336.377,-0.095,0.431,-0.221,0.825,1,"insig","ENSG00000106665","CLIP2"
"ENSG00000106683.15",1798.93,-0.05,0.401,-0.126,0.9,1,"insig","ENSG00000106683","LIMK1"
"ENSG00000106688.12",3872.4,-0.581,0.514,-1.131,0.258,1,"insig","ENSG00000106688","SLC1A1"
"ENSG00000106689.11",60.859,-0.249,0.583,-0.428,0.669,1,"insig","ENSG00000106689","LHX2"
"ENSG00000106692.15",601.564,-0.358,0.206,-1.737,0.082,0.945,"insig","ENSG00000106692","FKTN"
"ENSG00000106701.13",189.001,-0.077,0.347,-0.221,0.825,1,"insig","ENSG00000106701","FSD1L"
"ENSG00000106723.17",3094.191,-0.061,0.202,-0.301,0.763,1,"insig","ENSG00000106723","SPIN1"
"ENSG00000106733.21",1110.646,0.199,0.36,0.554,0.579,1,"insig","ENSG00000106733","NMRK1"
"ENSG00000106771.13",3276.704,-0.061,0.222,-0.274,0.784,1,"insig","ENSG00000106771","TMEM245"
"ENSG00000106780.9",1883.817,-0.165,0.504,-0.327,0.743,1,"insig","ENSG00000106780","MEGF9"
"ENSG00000106785.15",1922.713,-0.169,0.285,-0.593,0.553,1,"insig","ENSG00000106785","TRIM14"
"ENSG00000106789.13",1133.064,-0.302,0.427,-0.708,0.479,1,"insig","ENSG00000106789","CORO2A"
"ENSG00000106803.10",3754.599,-0.204,0.275,-0.742,0.458,1,"insig","ENSG00000106803","SEC61B"
"ENSG00000106809.11",118.544,1.073,0.773,1.387,0.165,1,"insig","ENSG00000106809","OGN"
"ENSG00000106819.13",1241.866,0.089,0.365,0.244,0.807,1,"insig","ENSG00000106819","ASPN"
"ENSG00000106853.20",6764.424,-0.663,0.787,-0.843,0.399,1,"insig","ENSG00000106853","PTGR1"
"ENSG00000106868.17",323.635,-0.133,0.279,-0.477,0.633,1,"insig","ENSG00000106868","SUSD1"
"ENSG00000106927.12",141043.045,-0.218,0.986,-0.222,0.825,1,"insig","ENSG00000106927","AMBP"
"ENSG00000106948.17",1065.379,0.066,0.257,0.256,0.798,1,"insig","ENSG00000106948","AKNA"
"ENSG00000106991.14",4440.952,0.026,0.311,0.084,0.933,1,"insig","ENSG00000106991","ENG"
"ENSG00000106992.19",200.588,0.12,0.331,0.362,0.717,1,"insig","ENSG00000106992","AK1"
"ENSG00000106993.12",1420.726,-0.331,0.434,-0.763,0.445,1,"insig","ENSG00000106993","CDC37L1"
"ENSG00000107014.9",9.803,-0.065,0.731,-0.089,0.929,1,"insig","ENSG00000107014","RLN2"
"ENSG00000107018.8",2.731,0.41,0.677,0.605,0.545,1,"insig","ENSG00000107018","RLN1"
"ENSG00000107020.10",559.801,-0.666,0.202,-3.303,0.001,0.15,"insig","ENSG00000107020","PLGRKT"
"ENSG00000107021.16",1189.398,-0.284,0.223,-1.274,0.203,1,"insig","ENSG00000107021","TBC1D13"
"ENSG00000107036.12",721.996,-0.228,0.225,-1.011,0.312,1,"insig","ENSG00000107036","RIC1"
"ENSG00000107105.15",4.201,-0.274,0.839,-0.327,0.744,1,"insig","ENSG00000107105","ELAVL2"
"ENSG00000107130.10",1093.977,-0.536,0.432,-1.241,0.215,1,"insig","ENSG00000107130","NCS1"
"ENSG00000107147.14",19.662,1.249,0.439,2.848,0.004,0.296,"insig","ENSG00000107147","KCNT1"
"ENSG00000107165.13",13.253,-1.104,0.722,-1.528,0.127,0.974,"insig","ENSG00000107165","TYRP1"
"ENSG00000107175.12",2018.119,-0.116,0.256,-0.456,0.649,1,"insig","ENSG00000107175","CREB3"
"ENSG00000107185.10",955.49,-0.031,0.275,-0.114,0.909,1,"insig","ENSG00000107185","RGP1"
"ENSG00000107186.17",1974.742,-0.133,0.553,-0.24,0.81,1,"insig","ENSG00000107186","MPDZ"
"ENSG00000107187.17",0.723,1.35,1.515,0.891,0.373,1,"insig","ENSG00000107187","LHX3"
"ENSG00000107223.13",10238.418,0.016,0.302,0.055,0.957,1,"insig","ENSG00000107223","EDF1"
"ENSG00000107242.20",30.31,-0.506,0.596,-0.848,0.396,1,"insig","ENSG00000107242","PIP5K1B"
"ENSG00000107262.26",2913.735,-0.598,0.298,-2.005,0.045,0.833,"insig","ENSG00000107262","BAG1"
"ENSG00000107281.10",1507.511,0.255,0.421,0.604,0.546,1,"insig","ENSG00000107281","NPDC1"
"ENSG00000107290.14",2742.631,0.066,0.198,0.332,0.74,1,"insig","ENSG00000107290","SETX"
"ENSG00000107295.10",14.849,-1.283,0.844,-1.519,0.129,0.978,"insig","ENSG00000107295","SH3GL2"
"ENSG00000107317.13",109.207,2.472,0.787,3.142,0.002,0.18,"insig","ENSG00000107317","PTGDS"
"ENSG00000107338.10",1556.809,0.133,0.348,0.382,0.703,1,"insig","ENSG00000107338","SHB"
"ENSG00000107341.5",4076.735,0.015,0.205,0.074,0.941,1,"insig","ENSG00000107341","UBE2R2"
"ENSG00000107362.14",498.301,-0.245,0.263,-0.932,0.351,1,"insig","ENSG00000107362","ABHD17B"
"ENSG00000107371.14",405.631,-0.181,0.192,-0.944,0.345,1,"insig","ENSG00000107371","EXOSC3"
"ENSG00000107372.13",5852.297,0.229,0.342,0.67,0.503,1,"insig","ENSG00000107372","ZFAND5"
"ENSG00000107438.9",7718.832,0.243,0.31,0.783,0.433,1,"insig","ENSG00000107438","PDLIM1"
"ENSG00000107443.16",295.417,-0.01,0.208,-0.05,0.96,1,"insig","ENSG00000107443","CCNJ"
"ENSG00000107447.8",1.042,-0.258,1.289,-0.2,0.841,1,"insig","ENSG00000107447","DNTT"
"ENSG00000107485.18",89.012,-0.043,0.554,-0.077,0.939,1,"insig","ENSG00000107485","GATA3"
"ENSG00000107518.18",51.98,-0.367,0.552,-0.664,0.506,1,"insig","ENSG00000107518","ATRNL1"
"ENSG00000107537.14",8473.634,-0.059,0.682,-0.087,0.931,1,"insig","ENSG00000107537","PHYH"
"ENSG00000107551.21",4073.198,0.546,0.437,1.249,0.212,1,"insig","ENSG00000107551","RASSF4"
"ENSG00000107554.17",1858.813,0.686,0.272,2.528,0.011,0.466,"insig","ENSG00000107554","DNMBP"
"ENSG00000107560.12",572.629,0.107,0.241,0.445,0.656,1,"insig","ENSG00000107560","RAB11FIP2"
"ENSG00000107566.14",2727.952,-0.136,0.458,-0.298,0.766,1,"insig","ENSG00000107566","ERLIN1"
"ENSG00000107593.17",21.312,0.036,0.45,0.081,0.935,1,"insig","ENSG00000107593","PKD2L1"
"ENSG00000107611.16",68.569,0.37,0.408,0.905,0.365,1,"insig","ENSG00000107611","CUBN"
"ENSG00000107614.22",178.833,0.329,0.231,1.425,0.154,0.997,"insig","ENSG00000107614","TRDMT1"
"ENSG00000107672.15",1099.603,0.076,0.223,0.341,0.733,1,"insig","ENSG00000107672","NSMCE4A"
"ENSG00000107731.12",1623.862,-0.138,0.39,-0.353,0.724,1,"insig","ENSG00000107731","UNC5B"
"ENSG00000107738.20",1940.297,0.288,0.379,0.761,0.447,1,"insig","ENSG00000107738","VSIR"
"ENSG00000107758.16",1630.264,0.113,0.19,0.598,0.55,1,"insig","ENSG00000107758","PPP3CB"
"ENSG00000107771.17",1475.35,0.085,0.25,0.339,0.735,1,"insig","ENSG00000107771","CCSER2"
"ENSG00000107789.16",1125.003,-0.118,0.282,-0.42,0.675,1,"insig","ENSG00000107789","MINPP1"
"ENSG00000107796.13",2598.537,0.071,0.336,0.211,0.833,1,"insig","ENSG00000107796","ACTA2"
"ENSG00000107798.18",4451.679,0.321,0.272,1.181,0.238,1,"insig","ENSG00000107798","LIPA"
"ENSG00000107807.13",21.333,2.196,1.13,1.944,0.052,0.862,"insig","ENSG00000107807","TLX1"
"ENSG00000107815.10",556.674,-0.056,0.279,-0.2,0.841,1,"insig","ENSG00000107815","TWNK"
"ENSG00000107816.17",2547.12,0.354,0.306,1.157,0.247,1,"insig","ENSG00000107816","LZTS2"
"ENSG00000107821.15",199.564,-0.239,0.507,-0.472,0.637,1,"insig","ENSG00000107821","KAZALD1"
"ENSG00000107829.15",3036.194,0.142,0.226,0.626,0.531,1,"insig","ENSG00000107829","FBXW4"
"ENSG00000107864.15",729.866,0.542,0.583,0.93,0.352,1,"insig","ENSG00000107864","CPEB3"
"ENSG00000107874.11",2054.567,-0.061,0.231,-0.265,0.791,1,"insig","ENSG00000107874","CUEDC2"
"ENSG00000107882.12",935.851,0.067,0.181,0.369,0.712,1,"insig","ENSG00000107882","SUFU"
"ENSG00000107890.17",287.961,0.075,0.168,0.446,0.655,1,"insig","ENSG00000107890","ANKRD26"
"ENSG00000107897.20",2744.444,0.046,0.285,0.16,0.873,1,"insig","ENSG00000107897","ACBD5"
"ENSG00000107902.14",1559.43,0.108,0.562,0.192,0.848,1,"insig","ENSG00000107902","LHPP"
"ENSG00000107937.19",1950.37,-0.104,0.189,-0.551,0.582,1,"insig","ENSG00000107937","GTPBP4"
"ENSG00000107938.18",392.665,0.248,0.185,1.341,0.18,1,"insig","ENSG00000107938","EDRF1"
"ENSG00000107949.17",1752.489,0.027,0.16,0.171,0.864,1,"insig","ENSG00000107949","BCCIP"
"ENSG00000107951.15",783.503,0.164,0.125,1.315,0.188,1,"insig","ENSG00000107951","MTPAP"
"ENSG00000107959.17",3615.473,0.107,0.3,0.358,0.72,1,"insig","ENSG00000107959","PITRM1"
"ENSG00000107968.10",380.298,0.445,0.296,1.502,0.133,0.982,"insig","ENSG00000107968","MAP3K8"
"ENSG00000107984.10",586.446,-2.051,0.991,-2.068,0.039,0.802,"insig","ENSG00000107984","DKK1"
"ENSG00000108010.12",2119.094,0.086,0.229,0.373,0.709,1,"insig","ENSG00000108010","GLRX3"
"ENSG00000108039.18",1721.695,0.057,0.187,0.306,0.76,1,"insig","ENSG00000108039","XPNPEP1"
"ENSG00000108064.11",1493.551,-0.157,0.16,-0.983,0.325,1,"insig","ENSG00000108064","TFAM"
"ENSG00000108091.11",3565.547,0.367,0.249,1.47,0.142,0.997,"insig","ENSG00000108091","CCDC6"
"ENSG00000108100.18",3090.51,-0.149,0.167,-0.892,0.372,1,"insig","ENSG00000108100","CCNY"
"ENSG00000108106.14",560.452,-0.433,0.359,-1.205,0.228,1,"insig","ENSG00000108106","UBE2S"
"ENSG00000108107.15",31165.215,0.135,0.305,0.442,0.658,1,"insig","ENSG00000108107","RPL28"
"ENSG00000108176.15",655.425,0.03,0.699,0.043,0.966,1,"insig","ENSG00000108176","DNAJC12"
"ENSG00000108179.14",5274.62,-0.562,0.42,-1.339,0.181,1,"insig","ENSG00000108179","PPIF"
"ENSG00000108187.16",4969.149,-0.142,0.778,-0.182,0.855,1,"insig","ENSG00000108187","PBLD"
"ENSG00000108231.14",19.409,1.18,0.913,1.292,0.196,1,"insig","ENSG00000108231","LGI1"
"ENSG00000108239.9",413.848,0.116,0.197,0.59,0.555,1,"insig","ENSG00000108239","TBC1D12"
"ENSG00000108242.13",1456.841,0.131,0.751,0.174,0.862,1,"insig","ENSG00000108242","CYP2C18"
"ENSG00000108244.17",5902.434,1.246,0.886,1.406,0.16,0.998,"insig","ENSG00000108244","KRT23"
"ENSG00000108255.8",2.088,0.128,0.557,0.229,0.819,1,"insig","ENSG00000108255","CRYBA1"
"ENSG00000108256.9",4380.685,0,0.169,-0.002,0.998,1,"insig","ENSG00000108256","NUFIP2"
"ENSG00000108262.16",2724.978,-0.463,0.289,-1.604,0.109,0.953,"insig","ENSG00000108262","GIT1"
"ENSG00000108298.12",47040.787,-0.08,0.261,-0.305,0.76,1,"insig","ENSG00000108298","RPL19"
"ENSG00000108306.13",1042.497,-0.053,0.143,-0.37,0.712,1,"insig","ENSG00000108306","FBXL20"
"ENSG00000108309.14",172.901,2.473,0.735,3.364,0.001,0.136,"insig","ENSG00000108309","RUNDC3A"
"ENSG00000108342.13",5.776,-0.034,0.982,-0.034,0.973,1,"insig","ENSG00000108342","CSF3"
"ENSG00000108344.15",4852.4,-0.117,0.145,-0.81,0.418,1,"insig","ENSG00000108344","PSMD3"
"ENSG00000108349.17",3094.463,-0.096,0.152,-0.63,0.528,1,"insig","ENSG00000108349","CASC3"
"ENSG00000108352.13",610.372,-0.422,0.468,-0.902,0.367,1,"insig","ENSG00000108352","RAPGEFL1"
"ENSG00000108370.17",593.277,1.707,0.438,3.901,0,0.046,"up","ENSG00000108370","RGS9"
"ENSG00000108375.13",425.296,0.237,0.411,0.576,0.564,1,"insig","ENSG00000108375","RNF43"
"ENSG00000108381.11",202.505,0.44,0.724,0.607,0.544,1,"insig","ENSG00000108381","ASPA"
"ENSG00000108395.14",797.797,-0.084,0.195,-0.431,0.667,1,"insig","ENSG00000108395","TRIM37"
"ENSG00000108405.4",66.102,0.759,0.55,1.38,0.167,1,"insig","ENSG00000108405","P2RX1"
"ENSG00000108406.10",1737.196,-0.198,0.215,-0.92,0.358,1,"insig","ENSG00000108406","DHX40"
"ENSG00000108417.4",0.058,-0.172,3.657,-0.047,0.963,1,"insig","ENSG00000108417","KRT37"
"ENSG00000108423.15",289.052,-0.006,0.228,-0.027,0.978,1,"insig","ENSG00000108423","TUBD1"
"ENSG00000108424.11",7661.871,-0.237,0.158,-1.498,0.134,0.984,"insig","ENSG00000108424","KPNB1"
"ENSG00000108433.17",1768.041,-0.156,0.109,-1.425,0.154,0.997,"insig","ENSG00000108433","GOSR2"
"ENSG00000108439.11",1674.205,-0.086,0.427,-0.202,0.84,1,"insig","ENSG00000108439","PNPO"
"ENSG00000108442.2",0,NA,NA,NA,NA,NA,"insig","ENSG00000108442","TVP23BP2"
"ENSG00000108443.14",1080.614,0.031,0.143,0.22,0.826,1,"insig","ENSG00000108443","RPS6KB1"
"ENSG00000108452.1",0.459,0.661,1.093,0.605,0.545,1,"insig","ENSG00000108452","ZNF29P"
"ENSG00000108465.15",346.915,0.13,0.371,0.351,0.725,1,"insig","ENSG00000108465","CDK5RAP3"
"ENSG00000108468.15",2047.826,-0.102,0.219,-0.465,0.642,1,"insig","ENSG00000108468","CBX1"
"ENSG00000108469.15",1628.49,0.156,0.205,0.759,0.448,1,"insig","ENSG00000108469","RECQL5"
"ENSG00000108474.17",379.289,-0.091,0.251,-0.361,0.718,1,"insig","ENSG00000108474","PIGL"
"ENSG00000108509.21",1331.454,0.314,0.172,1.831,0.067,0.917,"insig","ENSG00000108509","CAMTA2"
"ENSG00000108510.10",3127.326,0.133,0.163,0.815,0.415,1,"insig","ENSG00000108510","MED13"
"ENSG00000108511.10",97.854,0.102,0.697,0.147,0.883,1,"insig","ENSG00000108511","HOXB6"
"ENSG00000108515.18",2292.316,-0.319,0.727,-0.439,0.661,1,"insig","ENSG00000108515","ENO3"
"ENSG00000108516.5",0,NA,NA,NA,NA,NA,"insig","ENSG00000108516","unknown"
"ENSG00000108518.8",17297.909,-0.09,0.246,-0.367,0.714,1,"insig","ENSG00000108518","PFN1"
"ENSG00000108523.16",5291.552,-0.062,0.206,-0.299,0.765,1,"insig","ENSG00000108523","RNF167"
"ENSG00000108528.14",3027.555,-0.287,0.247,-1.163,0.245,1,"insig","ENSG00000108528","SLC25A11"
"ENSG00000108551.5",2093.381,0.474,0.635,0.746,0.456,1,"insig","ENSG00000108551","RASD1"
"ENSG00000108556.10",82.561,0.395,0.566,0.698,0.485,1,"insig","ENSG00000108556","CHRNE"
"ENSG00000108561.8",3001.226,-0.451,0.188,-2.397,0.017,0.56,"insig","ENSG00000108561","C1QBP"
"ENSG00000108576.10",27.952,0.78,0.637,1.224,0.221,1,"insig","ENSG00000108576","SLC6A4"
"ENSG00000108578.15",1557.491,-0.002,0.26,-0.006,0.995,1,"insig","ENSG00000108578","BLMH"
"ENSG00000108582.12",6135.196,0.041,0.303,0.136,0.892,1,"insig","ENSG00000108582","CPD"
"ENSG00000108587.16",2133.621,-0.09,0.123,-0.735,0.462,1,"insig","ENSG00000108587","GOSR1"
"ENSG00000108590.11",91.535,0.085,0.18,0.468,0.64,1,"insig","ENSG00000108590","MED31"
"ENSG00000108591.10",1015.643,-0.003,0.149,-0.023,0.982,1,"insig","ENSG00000108591","DRG2"
"ENSG00000108592.17",2641.216,0.092,0.158,0.582,0.561,1,"insig","ENSG00000108592","FTSJ3"
"ENSG00000108599.15",877.524,0.044,0.16,0.275,0.784,1,"insig","ENSG00000108599","AKAP10"
"ENSG00000108602.18",74.65,-1.649,0.573,-2.88,0.004,0.292,"insig","ENSG00000108602","ALDH3A1"
"ENSG00000108622.11",162.178,0.695,0.395,1.762,0.078,0.945,"insig","ENSG00000108622","ICAM2"
"ENSG00000108639.8",10004.014,0.042,0.299,0.142,0.887,1,"insig","ENSG00000108639","SYNGR2"
"ENSG00000108651.10",1606.812,-0.161,0.123,-1.31,0.19,1,"insig","ENSG00000108651","UTP6"
"ENSG00000108654.16",21205.819,0.072,0.129,0.559,0.576,1,"insig","ENSG00000108654","DDX5"
"ENSG00000108671.11",3659.458,0.013,0.158,0.083,0.933,1,"insig","ENSG00000108671","PSMD11"
"ENSG00000108679.13",35076.596,0.097,0.372,0.262,0.794,1,"insig","ENSG00000108679","LGALS3BP"
"ENSG00000108684.15",2.935,0.26,0.699,0.372,0.71,1,"insig","ENSG00000108684","ASIC2"
"ENSG00000108688.11",2.852,-0.036,0.894,-0.041,0.968,1,"insig","ENSG00000108688","CCL7"
"ENSG00000108700.5",28.396,-0.297,0.56,-0.53,0.596,1,"insig","ENSG00000108700","CCL8"
"ENSG00000108702.4",0.565,-0.41,1.371,-0.299,0.765,1,"insig","ENSG00000108702","CCL1"
"ENSG00000108733.11",323.951,-0.26,0.196,-1.328,0.184,1,"insig","ENSG00000108733","PEX12"
"ENSG00000108759.4",0.612,0.739,1.235,0.598,0.55,1,"insig","ENSG00000108759","KRT32"
"ENSG00000108771.13",1121.211,-0.037,0.238,-0.157,0.876,1,"insig","ENSG00000108771","DHX58"
"ENSG00000108773.11",3659.239,0.045,0.282,0.159,0.874,1,"insig","ENSG00000108773","KAT2A"
"ENSG00000108774.15",1931.715,-0.234,0.176,-1.327,0.185,1,"insig","ENSG00000108774","RAB5C"
"ENSG00000108784.10",2732.155,-0.238,0.289,-0.823,0.41,1,"insig","ENSG00000108784","NAGLU"
"ENSG00000108785.7",44.422,0.442,0.41,1.079,0.281,1,"insig","ENSG00000108785","HSD17B1P1"
"ENSG00000108786.11",23.414,0.245,0.469,0.523,0.601,1,"insig","ENSG00000108786","HSD17B1"
"ENSG00000108788.12",1816.889,0.01,0.168,0.058,0.954,1,"insig","ENSG00000108788","MLX"
"ENSG00000108797.12",141.103,0.426,0.321,1.327,0.184,1,"insig","ENSG00000108797","CNTNAP1"
"ENSG00000108798.9",443.445,0.023,0.414,0.055,0.957,1,"insig","ENSG00000108798","ABI3"
"ENSG00000108799.13",1499.133,0.021,0.207,0.1,0.92,1,"insig","ENSG00000108799","EZH1"
"ENSG00000108819.11",2581.333,-0.005,0.235,-0.023,0.981,1,"insig","ENSG00000108819","PPP1R9B"
"ENSG00000108821.14",54548.903,-0.443,0.453,-0.979,0.328,1,"insig","ENSG00000108821","COL1A1"
"ENSG00000108825.18",0.017,0.066,3.657,0.018,0.986,1,"insig","ENSG00000108825","PTGES3L-AARSD1"
"ENSG00000108826.16",1801.861,-0.117,0.23,-0.507,0.612,1,"insig","ENSG00000108826","MRPL27"
"ENSG00000108828.16",7599.549,0.037,0.241,0.154,0.877,1,"insig","ENSG00000108828","VAT1"
"ENSG00000108829.10",5014.11,-0.248,0.231,-1.073,0.283,1,"insig","ENSG00000108829","LRRC59"
"ENSG00000108839.12",83.088,0.15,0.326,0.461,0.645,1,"insig","ENSG00000108839","ALOX12"
"ENSG00000108846.16",17331.951,-0.232,0.298,-0.778,0.437,1,"insig","ENSG00000108846","ABCC3"
"ENSG00000108848.16",4377.703,-0.038,0.199,-0.189,0.85,1,"insig","ENSG00000108848","LUC7L3"
"ENSG00000108849.8",0.417,0.688,1.496,0.46,0.646,1,"insig","ENSG00000108849","PPY"
"ENSG00000108854.16",1035.308,-0.326,0.288,-1.131,0.258,1,"insig","ENSG00000108854","SMURF2"
"ENSG00000108861.9",6975.204,-0.139,0.238,-0.584,0.559,1,"insig","ENSG00000108861","DUSP3"
"ENSG00000108878.5",3.364,0.069,1.057,0.065,0.948,1,"insig","ENSG00000108878","CACNG1"
"ENSG00000108883.13",3842.274,-0.276,0.178,-1.549,0.121,0.972,"insig","ENSG00000108883","EFTUD2"
"ENSG00000108924.14",2575.233,-0.613,0.706,-0.869,0.385,1,"insig","ENSG00000108924","HLF"
"ENSG00000108947.5",110.34,0.54,0.477,1.132,0.257,1,"insig","ENSG00000108947","EFNB3"
"ENSG00000108950.12",1671.664,0.072,0.613,0.117,0.907,1,"insig","ENSG00000108950","FAM20A"
