"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","group","ensembl_gene_id","Gene_name"
"ENSG00000034533.12",232.365,0.128,0.178,0.719,0.472,1,"insig","ENSG00000034533","ASTE1"
"ENSG00000034677.13",5390.028,0.375,0.327,1.146,0.252,1,"insig","ENSG00000034677","RNF19A"
"ENSG00000034693.15",403.57,-0.266,0.442,-0.601,0.548,1,"insig","ENSG00000034693","PEX3"
"ENSG00000034713.8",2915.134,0.076,0.153,0.493,0.622,1,"insig","ENSG00000034713","GABARAPL2"
"ENSG00000034971.17",0.822,1.447,1.898,0.763,0.446,1,"insig","ENSG00000034971","MYOC"
"ENSG00000035115.22",3595.291,0.388,0.412,0.941,0.347,1,"insig","ENSG00000035115","SH3YL1"
"ENSG00000035403.18",4732.299,0.269,0.306,0.877,0.38,1,"insig","ENSG00000035403","VCL"
"ENSG00000035499.13",1085.098,-0.006,0.751,-0.008,0.993,1,"insig","ENSG00000035499","DEPDC1B"
"ENSG00000035664.11",356.893,0.65,0.45,1.446,0.148,0.997,"insig","ENSG00000035664","DAPK2"
"ENSG00000035681.9",882.338,0.01,0.233,0.043,0.966,1,"insig","ENSG00000035681","NSMAF"
"ENSG00000035687.10",1953.507,0.403,0.237,1.705,0.088,0.945,"insig","ENSG00000035687","ADSS2"
"ENSG00000035720.8",15.992,0.917,0.672,1.365,0.172,1,"insig","ENSG00000035720","STAP1"
"ENSG00000036054.13",1220.522,-0.028,0.201,-0.14,0.889,1,"insig","ENSG00000036054","TBC1D23"
"ENSG00000036448.10",257.051,0.069,0.424,0.163,0.87,1,"insig","ENSG00000036448","MYOM2"
"ENSG00000036473.8",2579.111,-0.061,1.194,-0.051,0.959,1,"insig","ENSG00000036473","OTC"
"ENSG00000036530.9",35.846,0.283,0.54,0.524,0.6,1,"insig","ENSG00000036530","CYP46A1"
"ENSG00000036549.13",1520.896,0.003,0.162,0.016,0.987,1,"insig","ENSG00000036549","ZZZ3"
"ENSG00000036565.15",2.753,0.56,0.821,0.682,0.495,1,"insig","ENSG00000036565","SLC18A1"
"ENSG00000036672.16",460.058,0.7,0.598,1.172,0.241,1,"insig","ENSG00000036672","USP2"
"ENSG00000036828.17",61.511,1.36,0.758,1.793,0.073,0.937,"insig","ENSG00000036828","CASR"
"ENSG00000037042.9",714.07,0.114,0.229,0.495,0.62,1,"insig","ENSG00000037042","TUBG2"
"ENSG00000037241.7",736.789,-0.33,0.194,-1.701,0.089,0.945,"insig","ENSG00000037241","RPL26L1"
"ENSG00000037280.16",718.518,-0.021,0.306,-0.067,0.946,1,"insig","ENSG00000037280","FLT4"
"ENSG00000037474.15",2667.208,-0.301,0.161,-1.862,0.063,0.901,"insig","ENSG00000037474","NSUN2"
"ENSG00000037637.11",827.216,0.099,0.177,0.56,0.575,1,"insig","ENSG00000037637","FBXO42"
"ENSG00000037757.14",481.108,0.048,0.19,0.253,0.801,1,"insig","ENSG00000037757","MRI1"
"ENSG00000037897.17",486.075,0,0.193,-0.002,0.999,1,"insig","ENSG00000037897","METTL1"
"ENSG00000037965.6",24.214,0.282,1.148,0.246,0.806,1,"insig","ENSG00000037965","HOXC8"
"ENSG00000038002.9",713.531,-0.084,0.227,-0.37,0.711,1,"insig","ENSG00000038002","AGA"
"ENSG00000038210.14",1461.728,-0.146,0.395,-0.37,0.711,1,"insig","ENSG00000038210","PI4K2B"
"ENSG00000038219.13",1780.934,0.084,0.201,0.419,0.675,1,"insig","ENSG00000038219","BOD1L1"
"ENSG00000038295.8",30.487,0.303,0.581,0.521,0.603,1,"insig","ENSG00000038295","TLL1"
"ENSG00000038358.15",1318.686,0.021,0.192,0.107,0.915,1,"insig","ENSG00000038358","EDC4"
"ENSG00000038427.16",4615.274,-0.476,0.672,-0.708,0.479,1,"insig","ENSG00000038427","VCAN"
"ENSG00000038945.15",532.62,-0.057,0.4,-0.142,0.887,1,"insig","ENSG00000038945","MSR1"
"ENSG00000039123.16",1855.409,0.312,0.166,1.882,0.06,0.887,"insig","ENSG00000039123","MTREX"
"ENSG00000039319.17",947.46,0.377,0.242,1.556,0.12,0.969,"insig","ENSG00000039319","ZFYVE16"
"ENSG00000039523.20",2202.317,-0.209,0.249,-0.838,0.402,1,"insig","ENSG00000039523","RIPOR1"
"ENSG00000039560.14",1809.727,-0.323,0.325,-0.994,0.32,1,"insig","ENSG00000039560","RAI14"
"ENSG00000039600.11",5.686,-0.524,0.538,-0.975,0.33,1,"insig","ENSG00000039600","SOX30"
"ENSG00000039650.12",1779.075,0.11,0.185,0.595,0.552,1,"insig","ENSG00000039650","PNKP"
"ENSG00000039987.7",0.575,-0.264,0.864,-0.305,0.76,1,"insig","ENSG00000039987","BEST2"
"ENSG00000040199.18",509.898,0.21,0.273,0.769,0.442,1,"insig","ENSG00000040199","PHLPP2"
"ENSG00000040275.17",367.485,-0.319,0.275,-1.16,0.246,1,"insig","ENSG00000040275","SPDL1"
"ENSG00000040341.18",1396.352,0.093,0.18,0.518,0.605,1,"insig","ENSG00000040341","STAU2"
"ENSG00000040487.13",687.065,0.116,0.267,0.434,0.665,1,"insig","ENSG00000040487","SLC66A1"
"ENSG00000040531.16",810.126,-0.097,0.161,-0.606,0.544,1,"insig","ENSG00000040531","CTNS"
"ENSG00000040608.14",390.638,0.392,0.285,1.378,0.168,1,"insig","ENSG00000040608","RTN4R"
"ENSG00000040633.13",1407.432,-0.077,0.177,-0.435,0.663,1,"insig","ENSG00000040633","PHF23"
"ENSG00000040731.10",1.529,1.009,1.496,0.675,0.5,1,"insig","ENSG00000040731","CDH10"
"ENSG00000040933.16",921.029,0.347,0.267,1.303,0.193,1,"insig","ENSG00000040933","INPP4A"
"ENSG00000041353.10",918.002,0.266,0.606,0.438,0.661,1,"insig","ENSG00000041353","RAB27B"
"ENSG00000041357.16",4441.636,-0.062,0.175,-0.354,0.724,1,"insig","ENSG00000041357","PSMA4"
"ENSG00000041515.16",139.743,-1.011,0.707,-1.431,0.153,0.997,"insig","ENSG00000041515","MYO16"
"ENSG00000041802.11",1756.59,0.068,0.179,0.381,0.703,1,"insig","ENSG00000041802","LSG1"
"ENSG00000042062.13",894.565,-0.325,0.578,-0.563,0.573,1,"insig","ENSG00000042062","RIPOR3"
"ENSG00000042088.14",467.469,-0.386,0.221,-1.749,0.08,0.945,"insig","ENSG00000042088","TDP1"
"ENSG00000042286.15",1519.905,0.04,0.28,0.144,0.885,1,"insig","ENSG00000042286","AIFM2"
"ENSG00000042317.17",289.794,-0.228,0.196,-1.162,0.245,1,"insig","ENSG00000042317","SPATA7"
"ENSG00000042429.12",187.5,-0.023,0.205,-0.113,0.91,1,"insig","ENSG00000042429","MED17"
"ENSG00000042445.14",5689.458,-0.088,0.384,-0.23,0.818,1,"insig","ENSG00000042445","RETSAT"
"ENSG00000042493.16",3020.748,-0.215,0.479,-0.449,0.653,1,"insig","ENSG00000042493","CAPG"
"ENSG00000042753.12",2793.866,-0.093,0.225,-0.413,0.68,1,"insig","ENSG00000042753","AP2S1"
"ENSG00000042781.14",544.677,-0.267,0.983,-0.272,0.786,1,"insig","ENSG00000042781","USH2A"
"ENSG00000042813.8",1.064,0.083,1.167,0.071,0.943,1,"insig","ENSG00000042813","ZPBP"
"ENSG00000042832.12",29.288,0.84,0.479,1.753,0.08,0.945,"insig","ENSG00000042832","TG"
"ENSG00000043039.7",314.768,1.545,0.9,1.717,0.086,0.945,"insig","ENSG00000043039","BARX2"
"ENSG00000043093.15",1582.491,0.045,0.19,0.237,0.813,1,"insig","ENSG00000043093","DCUN1D1"
"ENSG00000043355.12",224.453,-0.789,0.948,-0.832,0.405,1,"insig","ENSG00000043355","ZIC2"
"ENSG00000043462.13",726.851,-0.049,0.366,-0.135,0.893,1,"insig","ENSG00000043462","LCP2"
"ENSG00000043514.17",752.378,0.085,0.206,0.412,0.68,1,"insig","ENSG00000043514","TRIT1"
"ENSG00000043591.6",15.261,-0.228,0.709,-0.321,0.748,1,"insig","ENSG00000043591","ADRB1"
"ENSG00000044012.4",112.213,1.038,0.716,1.448,0.148,0.997,"insig","ENSG00000044012","GUCA2B"
"ENSG00000044115.21",17728.551,-0.14,0.226,-0.619,0.536,1,"insig","ENSG00000044115","CTNNA1"
"ENSG00000044446.12",1636.291,0.017,0.247,0.069,0.945,1,"insig","ENSG00000044446","PHKA2"
"ENSG00000044459.15",456.637,-0.018,0.423,-0.042,0.966,1,"insig","ENSG00000044459","CNTLN"
"ENSG00000044524.11",476.926,0.399,0.384,1.039,0.299,1,"insig","ENSG00000044524","EPHA3"
"ENSG00000046653.15",93.815,-0.024,0.334,-0.071,0.943,1,"insig","ENSG00000046653","GPM6B"
"ENSG00000046774.10",0.459,0.504,2.528,0.199,0.842,1,"insig","ENSG00000046774","MAGEC2"
"ENSG00000046889.19",141.75,-0.175,0.398,-0.439,0.66,1,"insig","ENSG00000046889","PREX2"
"ENSG00000047188.16",1492.212,0.004,0.179,0.024,0.981,1,"insig","ENSG00000047188","YTHDC2"
"ENSG00000047230.15",1282.021,0.232,0.223,1.04,0.298,1,"insig","ENSG00000047230","CTPS2"
"ENSG00000047249.18",1565.831,-0.224,0.181,-1.233,0.218,1,"insig","ENSG00000047249","ATP6V1H"
"ENSG00000047315.17",2469.79,-0.02,0.178,-0.112,0.91,1,"insig","ENSG00000047315","POLR2B"
"ENSG00000047410.14",5169.938,0.255,0.263,0.971,0.332,1,"insig","ENSG00000047410","TPR"
"ENSG00000047457.14",22412.149,-0.522,0.953,-0.548,0.584,1,"insig","ENSG00000047457","CP"
"ENSG00000047579.20",729.62,-0.033,0.257,-0.127,0.899,1,"insig","ENSG00000047579","DTNBP1"
